player hand sum;dealers card;usable ace;stick;hit
4;1;0;-0.2;-0.2
4;1;1;0;0
4;2;0;-0.396;-0.2
4;2;1;0;0
4;3;0;-0.0040000000000000036;-0.2
4;3;1;0;0
4;4;0;0.0040000000000000036;-0.2
4;4;1;0;0
4;5;0;-0.46057482070502404;-0.36000000000000004
4;5;1;0;0
4;6;0;0.5577974035328;0
4;6;1;0;0
4;7;0;-0.6230720000000001;-0.5904
4;7;1;0;0
4;8;0;-0.396;-0.2
4;8;1;0;0
4;9;0;-0.396;-0.488
4;9;1;0;0
4;10;0;-0.9639838419943074;-0.8926258176
4;10;1;0;0
5;1;0;-0.7332054504192083;-0.5904
5;1;1;0;0
5;2;0;-0.55043232;-0.5904
5;2;1;0;0
5;3;0;0.78000787264;-0.2
5;3;1;0;0
5;4;0;-0.7763184000000001;-0.5904
5;4;1;0;0
5;5;0;-0.5954604511872;-0.488
5;5;1;0;0
5;6;0;-0.026900608639999907;-0.2
5;6;1;0;0
5;7;0;-0.3998416;-0.36000000000000004
5;7;1;0;0
5;8;0;-0.3921584;-0.488
5;8;1;0;0
5;9;0;-0.37631840000000005;-0.5904
5;9;1;0;0
5;10;0;-1.0302301761093375;-0.9987620599607145
5;10;1;0;0
6;1;0;-0.7763184000000001;-0.7378560000000001
6;1;1;0;0
6;2;0;-0.5216631581199844;-0.865782272
6;2;1;0;0
6;3;0;-0.584315232;-0.5904
6;3;1;0;0
6;4;0;-0.7276750185536855;-0.67232
6;4;1;0;0
6;5;0;0.40567399172292096;0
6;5;1;0;0
6;6;0;0.35981659910584307;-0.2
6;6;1;0;0
6;7;0;-0.9392381623529011;-0.9141006540800001
6;7;1;0;0
6;8;0;-0.5882290848128;-0.5904
6;8;1;0;0
6;9;0;-0.007695496883456082;-0.36000000000000004
6;9;1;0;0
6;10;0;-1.114931633854832;-0.9999908656147667
6;10;1;0;0
7;1;0;-0.9607920320000001;-0.931280523264
7;1;1;0;0
7;2;0;-0.2704780940260122;-0.36000000000000004
7;2;1;0;0
7;3;0;-0.10032901520335236;-0.7902848
7;3;1;0;0
7;4;0;-0.8197228557708282;-0.67232
7;4;1;0;0
7;5;0;0.2003906771712099;-0.488
7;5;1;0;0
7;6;0;-0.9425731534014217;-0.865782272
7;6;1;0;0
7;7;0;-1.1294000613498227;-0.8926258176
7;7;1;0;0
7;8;0;-0.7070668124045312;-0.7902848
7;8;1;0;0
7;9;0;-0.9127991003041593;-0.7902848
7;9;1;0;0
7;10;0;-1.0782224136690923;-0.9999997428899129
7;10;1;0;0
8;1;0;-1.051202304;-0.9926213023705162
8;1;1;0;0
8;2;0;-0.15621634131394913;-0.5904
8;2;1;0;0
8;3;0;-0.46980645437929336;-0.7902848
8;3;1;0;0
8;4;0;-0.8237554158062319;-0.67232
8;4;1;0;0
8;5;0;-0.5578248609804627;-0.5904
8;5;1;0;0
8;6;0;-1.1163427450533934;-0.95601953488896
8;6;1;0;0
8;7;0;-1.0165965942236679;-0.9648156279111679
8;7;1;0;0
8;8;0;-1.0008048656116473;-0.9855884811924144
8;8;1;0;0
8;9;0;-1.0605553721856;-0.9718525023289344
8;9;1;0;0
8;10;0;-1.2907082160143823;-0.9999999987858319
8;10;1;0;0
9;1;0;-1.1327679405067936;-0.9907766279631451
9;1;1;0;0
9;2;0;-0.019052307838389876;-0.931280523264
9;2;1;0;0
9;3;0;-1.0460353338335344;-0.9980657186886166
9;3;1;0;0
9;4;0;1.5685205339965016;0
9;4;1;0;0
9;5;0;-0.8359259160046824;-0.7378560000000001
9;5;1;0;0
9;6;0;-0.9798204908501026;-0.95601953488896
9;6;1;0;0
9;7;0;-1.0638012186019892;-0.9975821483607707
9;7;1;0;0
